Summary Statistics of TFSA by FSA,,,,Contributions,,Withdrawals,,,,,,,,,,,,,,,,,,
PRUID,FSA,Number of Holders,FMV,(#),($),(#),($),,,,,,,,,,,,,,,,,
13,E2R,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,
13,E2S,2190 ,36232000 ,1250 ,7287000 ,780 ,4478000 ,,,,,,,,,,,,,,,,,
13,E2V,4880 ,93995000 ,3120 ,22052000 ,1850 ,11615000 ,,,,,,,,,,,,,,,,,
13,E3A,9850 ,239074000 ,5780 ,46000000 ,3080 ,22089000 ,,,,,,,,,,,,,,,,,
13,E3B,13730 ,389612000 ,8340 ,69071000 ,4020 ,30898000 ,,,,,,,,,,,,,,,,,
13,E3C,5020 ,138340000 ,2890 ,25297000 ,1360 ,9539000 ,,,,,,,,,,,,,,,,,
13,E3E,1630 ,43636000 ,900 ,7320000 ,410 ,2621000 ,,,,,,,,,,,,,,,,,
13,E3G,3000 ,72752000 ,1770 ,14368000 ,940 ,6708000 ,,,,,,,,,,,,,,,,,
13,E3L,2520 ,59528000 ,1350 ,9812000 ,820 ,5825000 ,,,,,,,,,,,,,,,,,
13,E3N,3660 ,89713000 ,2010 ,16088000 ,1120 ,8031000 ,,,,,,,,,,,,,,,,,
13,E3V,3640 ,97140000 ,1910 ,16804000 ,1210 ,11059000 ,,,,,,,,,,,,,,,,,
13,E3Y,1840 ,48570000 ,950 ,7727000 ,570 ,4499000 ,,,,,,,,,,,,,,,,,
13,E3Z,1200 ,34497000 ,620 ,5519000 ,330 ,2415000 ,,,,,,,,,,,,,,,,,
13,E4A,870 ,17909000 ,460 ,3462000 ,270 ,1992000 ,,,,,,,,,,,,,,,,,
13,E4B,1250 ,22875000 ,690 ,4617000 ,440 ,2592000 ,,,,,,,,,,,,,,,,,
13,E4C,720 ,19674000 ,380 ,2870000 ,230 ,2345000 ,,,,,,,,,,,,,,,,,
13,E4E,3120 ,84223000 ,1770 ,14663000 ,1020 ,7574000 ,,,,,,,,,,,,,,,,,
13,E4G,860 ,20594000 ,500 ,3750000 ,250 ,1610000 ,,,,,,,,,,,,,,,,,
13,E4H,1230 ,26076000 ,640 ,5203000 ,370 ,2677000 ,,,,,,,,,,,,,,,,,
13,E4J,1560 ,28518000 ,840 ,4897000 ,530 ,2870000 ,,,,,,,,,,,,,,,,,
13,E4K,1780 ,35890000 ,950 ,7565000 ,610 ,3317000 ,,,,,,,,,,,,,,,,,
13,E4L,2980 ,80661000 ,1720 ,12787000 ,890 ,6162000 ,,,,,,,,,,,,,,,,,
13,E4M,620 ,17648000 ,320 ,2361000 ,170 ,1120000 ,,,,,,,,,,,,,,,,,
13,E4N,940 ,22744000 ,460 ,5004000 ,270 ,2513000 ,,,,,,,,,,,,,,,,,
13,E4P,5000 ,134018000 ,2680 ,25639000 ,1510 ,13089000 ,,,,,,,,,,,,,,,,,
