FSA,EmploymentIncomePP,PensionIncomePP,InvestmentIncomePP,SelfEmpIncomePP,BenefitIncomePP,OtherIncomePP,EVGradient
M1B,38255,6341,4020,5637,10485,9004,
M1C,55486,5267,9826,12813,10064,10172,
M1E,42449,6343,7586,7688,10370,9639,
M1G,34895,3070,5178,5687,10802,9120,
M1H,40748,2378,5940,7090,10258,9505,
M1J,35986,3502,5891,6086,10955,9443,
M1K,37872,4420,4468,5841,10478,9680,
M1L,42232,2547,6071,7241,10826,9833,
M1M,49841,2939,14559,13393,10278,10689,
M1N,64073,2461,13735,24623,9855,11026,
M1P,40124,4032,6091,6849,10497,9203,
M1R,41108,3261,6512,9642,10334,9676,
M1S,40630,4125,9033,8221,10111,10084,
M1T,41676,4183,9926,8945,10449,9578,
M1V,35359,6102,6441,7480,10273,9896,
M1W,42532,6004,8757,8980,10156,9669,
M1X,41423,850,5218,6905,11127,9342,
M2H,49200,3319,14180,10053,10317,9400,
M2J,48965,5575,11169,10137,10335,9824,
M2K,59722,2893,23347,15534,10097,11944,
M2L,102226,1146,79071,38425,10309,16580,
M2M,49021,3503,17951,13979,10148,10162,
M2N,64881,5221,17674,18244,10394,10428,
M2P,117911,594,73855,30010,9728,15042,
M2R,43541,4009,15185,11274,10326,9927,
M3A,50462,3384,16758,12661,10472,9950,
M3B,85273,1821,66499,42656,9606,15516,
M3C,47330,4548,28817,12670,10924,10595,
M3H,60341,2823,30934,28030,10055,10250,
M3J,35380,2390,10203,7033,10188,9145,
M3K,51823,768,15853,14040,9306,8902,
M3L,36497,1769,4147,7624,10127,9024,
M3M,40158,2381,7528,8721,9840,8504,
M3N,32091,2961,4815,7063,10626,9233,
M4A,47053,1543,9232,10834,10430,9597,
M4B,52431,1941,11008,18842,10560,10967,
M4C,56358,3270,8201,14251,10428,9828,
M4E,95130,1777,23623,45242,9996,12896,
M4G,122796,1543,40260,59604,9414,14438,
M4H,33355,1324,7241,5541,11778,11215,
M4J,70795,2369,10475,23437,9794,10593,
M4K,77439,2373,19005,34346,10113,11943,
M4L,83303,1834,16621,33390,10345,11707,
M4M,80262,938,13120,29894,10394,10845,
M4N,212972,892,98819,67630,9903,19227,
M4P,73038,1620,28040,26057,10255,11443,
M4R,121223,720,45465,70384,9847,15211,
M4S,86329,2153,22528,35648,10031,11285,
M4T,162821,1032,81432,72071,9674,20650,
M4V,146981,1733,91586,54065,9646,17440,
M4W,181782,1054,98053,78335,9616,23990,
M4X,49773,1229,16902,18535,11289,10466,
M4Y,62422,2165,14141,17290,10463,10582,
M5A,69725,2136,17696,22778,11020,11381,
M5B,59752,738,10201,21140,10841,10189,
M5C,152651,192,79068,59990,10158,20754,
M5E,109086,669,72701,36208,9755,15764,
M5G,58543,2258,2943,37891,9726,5896,
M5H,180792,115,73084,66755,10258,19754,
M5J,103110,854,27268,30055,10094,13431,
M5K,252956,12,182100,313233,12300,26600,
M5L,220250,2,94067,0,0,5950,
M5M,122775,1582,43589,75673,9775,14281,
M5N,107268,1083,55496,66623,10153,14286,
M5P,125804,1572,72660,56599,9767,15955,
M5R,114780,2277,75536,48591,10174,17806,
M5S,75751,1426,40891,27723,9782,14081,
M5T,54659,993,13938,15795,10999,10350,
M5V,89867,1073,20097,24550,10386,11588,
M5W,110360,10,45680,17550,10067,7340,
M5X,170333,25,365980,342700,0,0,
M6A,45740,1864,27773,12606,10322,9801,
M6B,58124,2469,27443,33415,9644,9767,
M6C,75916,1704,27612,43664,10095,10837,
M6E,46851,3073,8395,13985,9715,8431,
M6G,72805,2297,19346,29294,9857,10747,
M6H,56753,2981,12807,17835,9934,9046,
M6J,82583,1186,16004,28364,9899,11025,
M6K,61301,1264,9723,16816,10988,9740,
M6L,41459,2382,10982,10083,9790,9057,
M6M,40216,3388,5536,9832,10344,8729,
M6N,44293,3433,5065,11981,10078,8609,
M6P,71798,2679,14152,22845,10092,10032,
M6R,86272,985,21361,34912,9952,11003,
M6S,93102,2576,22225,38602,9665,11186,
M8V,63285,3717,19631,18480,10338,10733,
M8W,61040,1985,11985,17568,9766,9604,
M8X,131612,1276,51106,80218,9206,20617,
M8Y,75430,1563,17704,28900,10001,11820,
M8Z,75583,1467,15326,27240,9415,9723,
M9A,80007,3659,43519,44895,10068,12880,
M9B,66696,3392,17703,21405,9882,10701,
M9C,56556,5314,12863,15419,9685,9412,
M9L,37693,1333,8702,7915,9839,8479,
M9M,38870,1821,6983,8214,10071,8840,
M9N,42097,2213,6154,10253,10511,9590,
M9P,54847,3082,16977,16987,9600,9125,
M9R,45558,4254,10183,10566,10410,9373,
M9V,34142,4358,4949,6712,10615,8954,
M9W,39320,4105,13462,7717,10113,9505,
N0A,44244,8294,10986,11978,8692,9892,
N0B,62485,10044,23748,18089,7961,9839,
N0C,43946,2828,15388,10074,8164,8939,
N0E,47422,6174,18227,12267,8239,8894,
N0G,47449,12067,14085,13266,7723,8321,
N0H,51527,12634,16115,15712,8192,11799,
N0J,46895,3937,16851,11756,7881,9509,
N0K,45792,2949,16197,13083,7412,7069,
