FSA,WtdEmploymentIncome,WtdPensionIncome,WtdInvestmentIncome,WtdSelfEmpIncome,WtdBenefitIncome,WtdOtherIncome
N2L,305102375,31265179,31412828,2320920,5676664,15058430
N2M,282707713,25247432,10978279,1478136,18192553,12096186
N2N,268078636,18570185,8071959,1482683,7348155,11083735
N2P,297719915,12828835,21755322,1349265,4910097,12064595
N2R,214945605,1750486,4381121,1332470,4094263,6985538
N2T,261494310,17081858,24377097,2063560,2675687,11626529
N2V,262886033,8030120,15342897,1793925,2447603,9499895
N2Z,110722773,34355406,9768000,851512,1810079,8631840
N3A,164723469,25364433,14799487,1141734,2609653,5835911
N3B,123770439,10927847,12478468,2121057,2004167,3132803
N3C,329317720,14947577,10560054,1343385,7752369,10706509
N3E,23370269,209363,1418856,226500,565556,1347441
N3H,201329496,20861141,7037763,909915,10434261,9229799
N3L,150296188,20605552,8419162,1077218,4327731,6688260
N3P,71442675,8227708,921945,286319,3878754,3256567
N3R,242975010,60685032,11188991,1484986,13262332,13691852
N3S,163191113,19339295,2017595,513609,18170398,9665285
N3T,286790233,29547122,14405354,2227077,14894167,15226830
N3V,16890956,1808677,499705,39729,442183,667092
N3W,153133853,16278184,5201053,965487,3789473,6576805
N3Y,134298792,50374230,10988375,1023919,9228470,7236489
N4B,50665281,11347232,3356502,364723,3697538,3071096
N4G,117923252,41685888,13121782,1077768,7675580,7148259
N4K,159744618,59095824,14232763,1721175,11124474,12356798
N4L,34863401,22871710,5764500,783613,2374635,3317988
N4N,57035967,21031001,5101934,692961,4031232,3655081
N4S,250950547,37897371,11743548,1388109,14471133,12625507
N4T,120996470,16815989,6207745,650745,3526377,6095722
N4V,24036829,4590763,871082,77905,1033539,977354
N4W,90742661,12382294,10729485,2123445,2881852,3093303
N4X,79930030,16982304,9356689,825017,1873635,3873416
N4Z,21863042,2575016,884730,70913,773474,656741
N5A,222498622,54462582,23101607,2492572,10279882,13242261
N5C,134009477,15947753,7219665,800621,5507481,8520890
N5H,98562762,13350797,6124614,2490566,4852171,3594651
N5L,19133658,11724264,3487964,361498,662431,2302906
N5P,151114019,23195617,5669433,1188002,8857723,8279511
N5R,198433032,50677857,6240026,1095001,11395452,11258815
N5V,239455661,20642299,6327355,747926,16968745,13185225
N5W,161662422,20502758,1923118,784300,14126000,10317195
N5X,325184457,44209317,27424622,3157685,5590588,17734031
N5Y,243724848,21494147,4824248,1423545,19827255,26759585
N5Z,140261189,17359843,1793274,553557,16297713,8708591
N6A,111624047,14439598,19981323,2228490,2526054,7173991
N6B,62250355,7054055,2359196,508276,7956368,4632707
N6C,244721585,37311302,14052875,2821175,10261214,13961871
N6E,158681900,20813532,1825057,981902,15735527,10796585
N6G,403307023,44294974,43406949,6158810,8385007,26406700
N6H,305947863,58920584,32496140,3884576,9609877,21385033
N6J,157676521,42931578,8185466,1453576,12321226,10422360
N6K,312406469,79259377,43241845,3790100,6036576,21518809
N6L,39804976,1271524,1577433,583613,1440213,2565319
N6M,79711879,3377196,2567092,463129,2139895,3411866
N6N,5271750,895289,1383398,124867,137578,205625
N6P,111556738,13839928,15835488,1227264,1413643,5374470
N7A,68900743,34291377,8816524,857530,3113795,4183374
N7G,139469075,27282899,9307703,1111999,6242394,6527084
N7L,150678284,48435751,7621254,783471,11486592,8862408
N7M,152855387,36075682,12569534,1515815,11649179,10146932
N7S,238912240,52141151,13280300,858535,9486171,12514852
N7T,133502658,40595220,5855078,498915,18650096,10388105
N7V,80151620,38095361,10489147,457697,3423630,6220170
N7W,11729130,17339038,1933190,56664,379921,1023083
N7X,11892072,3837471,7075587,164888,87516,962511
N8A,63445288,20511998,3569751,465130,8571728,4128351
N8H,192678707,31655837,12745341,1346181,9727689,7263500
N8M,92937713,16162025,2667827,566807,4980148,5131025
N8N,231242545,47891004,28057086,1588453,6712265,14759269
N8P,114027389,24245498,5665683,661577,4645212,7040941
N8R,87617148,13919138,1454039,232825,7633846,5583130
N8S,146365080,43139251,7672424,566413,11116343,11064190
N8T,84856423,19088268,1118199,289026,15076592,7381784
N8W,175517665,23188798,2908588,554445,15140139,10990030
N8X,82263199,11983927,1290306,346734,15412521,7527341
N8Y,104130116,25352179,4280563,438566,13932810,9525894
N9A,85802599,14077756,1634817,621758,30437084,12145811
N9B,117371280,6845455,1476955,507410,11410209,9487303
N9C,59775350,6048748,288784,215223,9977816,5691898
N9E,178667278,28133255,10893106,1249782,6874600,11563260
N9G,181233445,17747652,9242232,1136045,5813270,11864284
N9H,120989472,20747794,13067397,886724,2861173,7675829
N9J,240695158,24152456,11617261,1195906,5545380,10207569
N9K,31614613,1997789,1521498,147660,853106,1680272
N9V,186574387,36368116,9378471,937521,7565961,10927175
N9Y,121746567,31164375,10108411,1129897,3920313,6884803
P0A,64291163,41170293,7390953,1066352,8392153,6977360
P0B,55675053,17511615,11556654,1901512,2308192,3950708
P0C,17942979,9574614,4418679,529817,1167968,2084094
P0E,19550052,6755800,2252278,262852,1224330,1440125
P0G,15426730,8530281,3086130,249881,1223596,1414739
P0H,203015183,61365617,8164968,1743474,15276918,11232845
P0J,140484945,32814258,6721202,1180942,9836784,5012420
P0K,76818899,23599113,1731638,237283,5282006,4271070
P0L,133581659,27824508,4475286,550262,12813885,6958255
P0M,421824471,87480538,10149164,716912,21596723,15461189
P0N,98178844,9936419,1576809,136287,4267566,3156156
P0P,62005069,39093865,4518475,690172,10106931,6643057
P0R,58115377,33144259,3176306,649221,6124947,4087570
P0S,77899524,17468445,1660481,263208,5278722,3215507
P0T,206778761,50823814,5175241,574579,14880693,12516767
P0V,79072311,10986700,1986972,160372,8419369,4362712
P0W,36831411,8580822,1915279,637893,2166080,1583667
P0X,27913104,13520954,3542482,243526,2329415,2457775
P0Y,101333,668000,0,0,14333,29556
P1A,108943148,31943671,3917373,480352,7913250,6179452
P1B,206550830,53466545,7730954,1284381,17570674,11403178
P1C,47658228,5724531,5605895,532044,300189,1458471
P1H,96218132,35670509,15720853,2147955,5401262,8413820
P1L,107462603,39453432,12239205,1956633,4906973,7465055
P1P,43200108,25671962,5809000,569010,4287052,3960939
P2A,71126626,30615669,8419328,1119048,5141514,4664212
P2B,48681637,21237659,2590685,205345,6531396,2867950
P2N,52874575,10296418,1087382,88169,4123900,2232424
P3A,187973694,48227416,8234725,669653,8053902,8295313
P3B,122386056,17910749,4232289,368475,9032365,6158892
P3C,90476158,13660386,1786840,285139,14295247,6504385
P3E,249634360,57957750,35338789,1514734,6628540,12552590
P3G,49949587,7506384,8168940,211929,651422,2054341
P3L,93397357,8564826,2596366,158777,2656038,2793968
P3N,89138221,11216429,1547749,163420,2830562,2353573
P3P,181957773,19238444,2565325,243819,4831698,4403501
P3Y,91970973,14219680,3370125,158843,1461329,2636440
P4N,207964060,30977247,7549723,772267,13357554,8524443
P4P,38363840,2991953,1128576,78750,1243602,1172336
P4R,60173198,3765794,3099879,152810,1497247,1814049
