FSA,Urban,EmploymentIncomePP,SelfEmpIncomePP,PensionIncomePP,InvestmentIncomePP,BenefitIncomePP,OtherIncomePP,TFSAAmountPP,EVGradient
L4K,Y,56854,13112,1445,17520,9317,10038,,
L4L,Y,60792,17606,6902,20942,8927,10311,,
L4M,Y,43822,15797,6716,14642,9060,9761,,
L4N,Y,49416,16271,12099,10328,9256,9342,,
L4P,Y,50991,14415,2808,8267,9054,9783,,
L4R,Y,41622,15611,4493,11753,8501,9353,,
L4S,Y,60445,14249,1510,9773,10196,10139,,
L4T,Y,31754,6172,3344,5430,10020,8469,,
L4V,Y,155725,0,2,212833,0,0,,
L4W,Y,56072,16264,3130,11850,9185,9813,,
L4X,Y,45006,10739,1825,10751,10147,9458,,
L4Y,Y,51219,11869,3289,9396,9608,9494,,
L4Z,Y,49555,11605,2794,8878,9957,9115,,
L5A,Y,45037,9969,4812,7466,10081,9364,,
L5B,Y,50805,11114,4767,10343,10100,9348,,
L5C,Y,49466,13698,3465,11545,9798,9626,,
L5E,Y,60642,18767,1573,10995,9305,10300,,
L5G,Y,82477,34950,1856,30624,9469,12354,,
L5H,Y,92696,38783,1576,36807,9476,13245,,
L5J,Y,66446,22346,3154,19456,9400,10454,,
L5K,Y,57858,22957,1586,15014,9940,10122,,
L5L,Y,54353,15857,6300,16082,9823,9969,,
L5M,Y,57330,13863,6321,11764,10001,9894,,
L5N,Y,56283,12532,6157,7791,9737,9570,,
L5P,Y,49600,0,0,0,0,0,,
L5R,Y,48975,10599,3422,8369,9895,9457,,
L5S,Y,61055,14300,12,68717,10800,8883,,
L5T,Y,61088,9520,16,72744,7275,18370,,
L5V,Y,50293,10162,2707,8152,10241,9199,,
L5W,Y,53519,12073,818,9561,10060,9274,,
L6A,Y,60338,16787,4271,13165,10057,9763,,
L6B,Y,57722,12772,1017,8015,10541,9875,,
L6C,Y,64244,17902,1990,14996,10392,10474,,
L6E,Y,56547,11816,1931,7744,10464,9782,,
L6G,Y,54304,12303,312,8591,9991,10677,,
L6H,Y,72030,24533,5225,15278,9510,11095,,
L6J,Y,128357,55841,1876,63511,9275,19317,,
L6K,Y,73491,28534,1554,32440,9329,13832,,
L6L,Y,80357,28781,3797,24785,8712,11526,,
L6M,Y,80129,24621,3848,16412,9717,11075,,
L6P,Y,42246,11170,3169,9900,10421,8687,,
L6R,Y,37493,8047,4761,6683,10160,8326,,
L6S,Y,42701,10096,6190,8004,9691,8686,,
L6T,Y,40365,6094,3470,6047,9699,8872,,
L6V,Y,40139,8020,3589,4784,9633,8482,,
L6W,Y,44118,11441,2813,10368,9616,9094,,
L6X,Y,44060,9903,3734,7635,9936,8570,,
L6Y,Y,40478,9626,6434,8679,9784,8610,,
L6Z,Y,47830,11442,3269,11087,9562,9241,,
L7A,Y,44634,8252,2851,5762,10158,8524,,
L7B,Y,87355,29901,1135,44378,9406,11828,,
L7C,Y,55161,15006,2393,18277,9683,9253,,
L7E,Y,61794,18057,2983,16860,9015,9453,,
L7G,Y,66760,19782,4463,14763,8805,10649,,
L7J,Y,57026,13754,1488,14418,8635,9408,,
L7K,Y,61994,18235,1162,30564,8878,12716,,
L7L,Y,70061,23820,4889,17263,9056,10858,,
L7M,Y,68555,22676,5283,16268,9453,13999,,
L7N,Y,69439,31234,2104,27567,8263,12704,,
L7P,Y,62961,23690,4223,23784,8933,10764,,
L7R,Y,60325,22750,2720,21851,9042,10227,,
L7S,Y,57706,21747,2636,16449,9142,10152,,
L7T,Y,61360,25503,3555,48103,9115,10466,,
L8B,Y,64053,17934,1952,12575,9147,11109,,
L8E,Y,48833,14307,5252,10929,9392,9440,,
L8G,Y,46087,14392,4836,10367,8872,9618,,
L8H,Y,40088,10776,2802,5373,9639,9468,,
L8J,Y,51233,15298,2700,8808,9600,9531,,
L8K,Y,43291,12298,5056,6857,9326,8840,,
L8L,Y,37203,11426,2586,5146,10359,9174,,
L8M,Y,43025,15620,1332,8311,10152,9705,,
L8N,Y,40734,12496,1348,9770,10357,9708,,
L8P,Y,50574,27820,3317,21916,9773,11086,,
L8R,Y,39569,14113,1117,6899,10548,10119,,
L8S,Y,42131,18165,2306,14431,9487,8952,,
L8T,Y,43515,12117,3661,8191,9181,9001,,
L8V,Y,41219,9430,3643,5169,9173,8504,,
L8W,Y,45139,10204,3117,6669,9861,9820,,
L9A,Y,42770,11683,3784,6453,9808,8782,,
L9B,Y,49164,14798,3968,9522,9840,8925,,
L9C,Y,44189,13431,6897,9907,9563,9481,,
L9E,Y,57992,13654,391,15084,10437,9370,,
L9G,Y,68284,34652,4011,27195,9091,11036,,
L9H,Y,59815,23169,6279,21837,8672,10437,,
L9J,Y,45591,12413,286,6866,9124,10183,,
L9K,Y,61469,22256,1666,18131,9746,10560,,
L9L,Y,54071,17448,3339,18537,8901,10982,,
L9M,Y,42553,14982,4019,12616,8388,9334,,
L9N,Y,55134,14979,1547,8708,9475,10641,,
L9P,Y,65058,18805,2444,21473,8498,11377,,
L9R,Y,49514,15189,4384,12891,8696,9232,,
L9S,Y,50977,12433,3750,12763,8871,9565,,
L9T,Y,60657,13348,5541,10256,9676,9352,,
L9V,Y,50233,9959,1863,15181,8707,9179,,
L9W,Y,54395,14715,5633,16160,8756,9262,,
L9X,Y,64793,24310,1475,26122,8820,9895,,
L9Y,Y,48054,24582,7276,24365,8672,10790,,
L9Z,Y,40019,16160,7650,8129,8326,9308,,
M1B,Y,38255,5637,6341,4020,10485,9004,,
M1C,Y,55486,12813,5267,9826,10064,10172,,
M1E,Y,42449,7688,6343,7586,10370,9639,,
M1G,Y,34895,5687,3070,5178,10802,9120,,
M1H,Y,40748,7090,2378,5940,10258,9505,,
M1J,Y,35986,6086,3502,5891,10955,9443,,
M1K,Y,37872,5841,4420,4468,10478,9680,,
M1L,Y,42232,7241,2547,6071,10826,9833,,
M1M,Y,49841,13393,2939,14559,10278,10689,,
M1N,Y,64073,24623,2461,13735,9855,11026,,
M1P,Y,40124,6849,4032,6091,10497,9203,,
M1R,Y,41108,9642,3261,6512,10334,9676,,
M1S,Y,40630,8221,4125,9033,10111,10084,,
M1T,Y,41676,8945,4183,9926,10449,9578,,
M1V,Y,35359,7480,6102,6441,10273,9896,,
M1W,Y,42532,8980,6004,8757,10156,9669,,
M1X,Y,41423,6905,850,5218,11127,9342,,
M2H,Y,49200,10053,3319,14180,10317,9400,,
M2J,Y,48965,10137,5575,11169,10335,9824,,
M2K,Y,59722,15534,2893,23347,10097,11944,,
M2L,Y,102226,38425,1146,79071,10309,16580,,
M2M,Y,49021,13979,3503,17951,10148,10162,,
M2N,Y,64881,18244,5221,17674,10394,10428,,
M2P,Y,117911,30010,594,73855,9728,15042,,
M2R,Y,43541,11274,4009,15185,10326,9927,,
M3A,Y,50462,12661,3384,16758,10472,9950,,
M3B,Y,85273,42656,1821,66499,9606,15516,,
M3C,Y,47330,12670,4548,28817,10924,10595,,
M3H,Y,60341,28030,2823,30934,10055,10250,,
M3J,Y,35380,7033,2390,10203,10188,9145,,
M3K,Y,51823,14040,768,15853,9306,8902,,
M3L,Y,36497,7624,1769,4147,10127,9024,,
M3M,Y,40158,8721,2381,7528,9840,8504,,
M3N,Y,32091,7063,2961,4815,10626,9233,,
M4A,Y,47053,10834,1543,9232,10430,9597,,
M4B,Y,52431,18842,1941,11008,10560,10967,,
M4C,Y,56358,14251,3270,8201,10428,9828,,
M4E,Y,95130,45242,1777,23623,9996,12896,,
M4G,Y,122796,59604,1543,40260,9414,14438,,
M4H,Y,33355,5541,1324,7241,11778,11215,,
M4J,Y,70795,23437,2369,10475,9794,10593,,
M4K,Y,77439,34346,2373,19005,10113,11943,,
M4L,Y,83303,33390,1834,16621,10345,11707,,
M4M,Y,80262,29894,938,13120,10394,10845,,
M4N,Y,212972,67630,892,98819,9903,19227,,
M4P,Y,73038,26057,1620,28040,10255,11443,,
M4R,Y,121223,70384,720,45465,9847,15211,,
M4S,Y,86329,35648,2153,22528,10031,11285,,
M4T,Y,162821,72071,1032,81432,9674,20650,,
M4V,Y,146981,54065,1733,91586,9646,17440,,
M4W,Y,181782,78335,1054,98053,9616,23990,,
M4X,Y,49773,18535,1229,16902,11289,10466,,
M4Y,Y,62422,17290,2165,14141,10463,10582,,
