Prov/Terr,FSA,Employment Income #,Employment Income $,Pension Income #,Pension Income $,Investment Income #,Investment Income $,Self-employment Income #,Self-employment Income $,Benefits Income #,Benefits Income $,Other Income #,Other Income $,,,,,,,,,,,
12,B0T,6270 ,214444000 ,6160 ,136171000 ,2450 ,33043000 ,1420 ,27721000 ,5880 ,50557000 ,3670 ,32696000 ,,,,,,,,,,,
12,B0V,2710 ,86696000 ,2280 ,44583000 ,840 ,18643000 ,490 ,4685000 ,2520 ,22113000 ,1510 ,14171000 ,,,,,,,,,,,
12,B0W,14360 ,525241000 ,10230 ,191958000 ,5100 ,67429000 ,2770 ,43090000 ,12200 ,114739000 ,6330 ,49784000 ,,,,,,,,,,,
12,B1A,6700 ,241198000 ,5590 ,114638000 ,1580 ,11363000 ,460 ,7022000 ,6560 ,64643000 ,3460 ,34276000 ,,,,,,,,,,,
12,B1B,540 ,19554000 ,560 ,12918000 ,160 ,1646000 ,80 ,1552000 ,600 ,6396000 ,280 ,2639000 ,,,,,,,,,,,
12,B1C,840 ,29375000 ,740 ,14172000 ,210 ,4725000 ,210 ,5553000 ,910 ,11746000 ,430 ,3724000 ,,,,,,,,,,,
12,B1E,760 ,27913000 ,590 ,11530000 ,180 ,566000 ,50 ,645000 ,720 ,7267000 ,360 ,3550000 ,,,,,,,,,,,
12,B1G,840 ,28260000 ,780 ,16197000 ,270 ,880000 ,50 ,716000 ,820 ,7905000 ,420 ,4020000 ,,,,,,,,,,,
12,B1H,4030 ,143328000 ,3810 ,77340000 ,970 ,4867000 ,250 ,3332000 ,4370 ,45774000 ,2270 ,21492000 ,,,,,,,,,,,
12,B1J,480 ,21444000 ,560 ,17310000 ,260 ,4794000 ,50 ,1438000 ,350 ,3480000 ,300 ,2672000 ,,,,,,,,,,,
12,B1K,1540 ,68729000 ,1320 ,34129000 ,550 ,7230000 ,180 ,3438000 ,1090 ,11182000 ,790 ,7407000 ,,,,,,,,,,,
12,B1L,2590 ,119946000 ,1730 ,45353000 ,930 ,11398000 ,220 ,3977000 ,1540 ,15278000 ,1140 ,10192000 ,,,,,,,,,,,
12,B1M,690 ,29568000 ,420 ,10944000 ,210 ,1986000 ,40 ,245000 ,410 ,4028000 ,290 ,2389000 ,,,,,,,,,,,
12,B1N,2750 ,85622000 ,2000 ,37480000 ,580 ,1775000 ,160 ,1374000 ,2520 ,25642000 ,1370 ,11779000 ,,,,,,,,,,,
12,B1P,7990 ,269247000 ,4880 ,112068000 ,2000 ,19801000 ,610 ,9503000 ,5470 ,50810000 ,3800 ,33462000 ,,,,,,,,,,,
12,B1R,2230 ,101446000 ,1540 ,41711000 ,780 ,8852000 ,190 ,4786000 ,1280 ,12265000 ,1040 ,9977000 ,,,,,,,,,,,
12,B1S,3590 ,154207000 ,2960 ,82956000 ,1500 ,30270000 ,310 ,7385000 ,2300 ,21418000 ,1930 ,18577000 ,,,,,,,,,,,
12,B1T,150 ,6385000 ,200 ,5243000 ,70 ,570000 ,30 ,242000 ,120 ,1073000 ,80 ,795000 ,,,,,,,,,,,
12,B1V,2840 ,94159000 ,2140 ,44463000 ,580 ,5656000 ,220 ,3725000 ,2810 ,30338000 ,1350 ,12687000 ,,,,,,,,,,,
12,B1W,220 ,3388000 ,240 ,2134000 ,30 ,130000 ,20 ,74000 ,420 ,3587000 ,810 ,9507000 ,,,,,,,,,,,
12,B1X,370 ,14080000 ,350 ,9495000 ,160 ,3188000 ,70 ,1461000 ,300 ,3481000 ,230 ,2348000 ,,,,,,,,,,,
12,B1Y,3030 ,120186000 ,2350 ,54505000 ,850 ,7248000 ,270 ,4098000 ,2700 ,29130000 ,1320 ,12984000 ,,,,,,,,,,,
12,B2A,3670 ,130611000 ,3110 ,68092000 ,1030 ,8021000 ,270 ,3656000 ,3220 ,31205000 ,1690 ,16712000 ,,,,,,,,,,,
12,B2C,140 ,4925000 ,140 ,3595000 ,0 ,0 ,0 ,0 ,110 ,913000 ,80 ,911000 ,,,,,,,,,,,
12,B2E,0 ,0 ,30 ,762000 ,0 ,0 ,0 ,0 ,10 ,108000 ,0 ,0 ,,,,,,,,,,,
12,B2G,7490 ,328163000 ,4780 ,128581000 ,3090 ,47233000 ,1070 ,17488000 ,4240 ,40130000 ,3390 ,31874000 ,,,,,,,,,,,
12,B2H,7180 ,302175000 ,5360 ,141331000 ,2550 ,51155000 ,730 ,8894000 ,4590 ,38118000 ,3570 ,35193000 ,,,,,,,,,,,
12,B2J,0 ,0 ,40 ,705000 ,0 ,0 ,0 ,0 ,40 ,697000 ,0 ,0 ,,,,,,,,,,,
12,B2N,9590 ,381770000 ,7110 ,173481000 ,3500 ,50698000 ,1040 ,17869000 ,6230 ,50996000 ,4830 ,46807000 ,,,,,,,,,,,
12,B2R,1410 ,83822000 ,850 ,27584000 ,700 ,13015000 ,180 ,3964000 ,480 ,4222000 ,700 ,8612000 ,,,,,,,,,,,
12,B2S,4460 ,216297000 ,2060 ,51387000 ,1110 ,8441000 ,420 ,5731000 ,2000 ,17800000 ,1730 ,15000000 ,,,,,,,,,,,
12,B2T,9990 ,594550000 ,4320 ,133490000 ,3780 ,69075000 ,1070 ,19805000 ,3210 ,28357000 ,4210 ,43482000 ,,,,,,,,,,,
12,B2V,7040 ,367224000 ,3540 ,119730000 ,2420 ,29486000 ,650 ,11166000 ,2110 ,17928000 ,2920 ,29344000 ,,,,,,,,,,,
12,B2W,17600 ,847811000 ,10920 ,358913000 ,7010 ,72578000 ,1710 ,27603000 ,6350 ,54877000 ,8550 ,77884000 ,,,,,,,,,,,
12,B2X,6680 ,321737000 ,3140 ,96776000 ,2220 ,33790000 ,740 ,12604000 ,2610 ,23000000 ,3250 ,32989000 ,,,,,,,,,,,
12,B2Y,7740 ,353293000 ,4420 ,130067000 ,2960 ,43665000 ,970 ,16939000 ,3890 ,33696000 ,3890 ,37898000 ,,,,,,,,,,,
12,B2Z,4680 ,220911000 ,2590 ,68402000 ,1380 ,14275000 ,540 ,6541000 ,2080 ,18428000 ,2290 ,22960000 ,,,,,,,,,,,
12,B3A,10930 ,461177000 ,5340 ,142645000 ,3140 ,41855000 ,1190 ,20008000 ,5850 ,51669000 ,5510 ,54150000 ,,,,,,,,,,,
12,B3B,780 ,34442000 ,300 ,7533000 ,220 ,8519000 ,80 ,977000 ,380 ,3418000 ,360 ,6030000 ,,,,,,,,,,,
12,B3E,3900 ,191744000 ,1990 ,56850000 ,1150 ,14545000 ,440 ,6301000 ,1590 ,14344000 ,1660 ,15443000 ,,,,,,,,,,,
12,B3G,6390 ,300962000 ,2760 ,72083000 ,1260 ,7670000 ,530 ,7330000 ,2390 ,21045000 ,2430 ,21343000 ,,,,,,,,,,,
12,B3H,9070 ,515202000 ,3430 ,147776000 ,5220 ,223850000 ,1490 ,51676000 ,2380 ,21695000 ,5120 ,55413000 ,,,,,,,,,,,
12,B3J,4630 ,229110000 ,1630 ,53763000 ,2130 ,109810000 ,620 ,25604000 ,1570 ,13914000 ,2090 ,22311000 ,,,,,,,,,,,
12,B3K,11810 ,549680000 ,4730 ,128006000 ,4070 ,53463000 ,1830 ,37956000 ,5410 ,48655000 ,5810 ,55075000 ,,,,,,,,,,,
12,B3L,9620 ,471525000 ,3520 ,110821000 ,3860 ,59797000 ,1420 ,33006000 ,3520 ,31680000 ,4540 ,42981000 ,,,,,,,,,,,
12,B3M,18750 ,836201000 ,8220 ,256302000 ,6900 ,98699000 ,2510 ,41463000 ,7410 ,67560000 ,9070 ,86289000 ,,,,,,,,,,,
12,B3N,7660 ,376513000 ,3580 ,113241000 ,3280 ,59317000 ,1050 ,21179000 ,2870 ,25239000 ,3840 ,34820000 ,,,,,,,,,,,
12,B3P,5600 ,285373000 ,2590 ,78646000 ,2320 ,46913000 ,800 ,16959000 ,2170 ,19083000 ,2810 ,25717000 ,,,,,,,,,,,
12,B3R,4430 ,166655000 ,2070 ,44840000 ,900 ,4943000 ,430 ,4551000 ,2790 ,25130000 ,2210 ,21194000 ,,,,,,,,,,,
12,B3S,6800 ,303282000 ,4100 ,133964000 ,3000 ,37841000 ,970 ,13093000 ,2500 ,20729000 ,3640 ,31841000 ,,,,,,,,,,,
12,B3T,9920 ,500506000 ,4140 ,113582000 ,2760 ,27502000 ,1060 ,17047000 ,3520 ,31117000 ,4130 ,38745000 ,,,,,,,,,,,
12,B3V,3240 ,161648000 ,1810 ,49858000 ,1150 ,16228000 ,490 ,8342000 ,1420 ,12643000 ,1540 ,13928000 ,,,,,,,,,,,
12,B3Z,9420 ,545255000 ,4780 ,150007000 ,4000 ,68119000 ,1390 ,25066000 ,3040 ,26201000 ,4510 ,45431000 ,,,,,,,,,,,
12,B4A,10010 ,582998000 ,5020 ,179693000 ,5090 ,126411000 ,1460 ,36785000 ,2850 ,24961000 ,5370 ,61160000 ,,,,,,,,,,,
